image,class_id,x_center,y_center,width,height
pedestrians_mov-0001_jpg.rf.7af031f07348e0cd0be62bd4b0dc651b.jpg,1,0.4046875,0.82265625,0.184375,0.284375
pedestrians_mov-0001_jpg.rf.7af031f07348e0cd0be62bd4b0dc651b.jpg,1,0.76171875,0.58828125,0.0828125,0.1609375
pedestrians_mov-0001_jpg.rf.7af031f07348e0cd0be62bd4b0dc651b.jpg,1,0.78671875,0.68828125,0.125,0.2046875
pedestrians_mov-0001_jpg.rf.7af031f07348e0cd0be62bd4b0dc651b.jpg,1,0.91484375,0.6375,0.10625,0.2203125
pedestrians_mov-0001_jpg.rf.7af031f07348e0cd0be62bd4b0dc651b.jpg,1,0.9578125,0.55703125,0.06875,0.1546875
pedestrians_mov-0001_jpg.rf.7af031f07348e0cd0be62bd4b0dc651b.jpg,1,0.50625,0.434375,0.0546875,0.1359375
pedestrians_mov-0001_jpg.rf.7af031f07348e0cd0be62bd4b0dc651b.jpg,1,0.3859375,0.38515625,0.0640625,0.1234375
pedestrians_mov-0001_jpg.rf.7af031f07348e0cd0be62bd4b0dc651b.jpg,1,0.2375,0.4140625,0.0765625,0.1296875
pedestrians_mov-0001_jpg.rf.7af031f07348e0cd0be62bd4b0dc651b.jpg,0,0.11328125,0.39609375,0.0859375,0.128125
pedestrians_mov-0006_jpg.rf.823f33b621923fbf90a288e82bb57fdd.jpg,1,0.575,0.7609375,0.09296875,0.225
pedestrians_mov-0006_jpg.rf.823f33b621923fbf90a288e82bb57fdd.jpg,1,0.7703125,0.6703125,0.13046875,0.27421875
pedestrians_mov-0006_jpg.rf.823f33b621923fbf90a288e82bb57fdd.jpg,1,0.61640625,0.62578125,0.103125,0.259375
pedestrians_mov-0006_jpg.rf.823f33b621923fbf90a288e82bb57fdd.jpg,1,0.96875,0.55,0.0625,0.1671875
pedestrians_mov-0006_jpg.rf.823f33b621923fbf90a288e82bb57fdd.jpg,0,0.71484375,0.46171875,0.06640625,0.153125
pedestrians_mov-0006_jpg.rf.823f33b621923fbf90a288e82bb57fdd.jpg,0,0.10390625,0.440625,0.0953125,0.16953125
pedestrians_mov-0006_jpg.rf.823f33b621923fbf90a288e82bb57fdd.jpg,0,0.61796875,0.396875,0.0546875,0.14140625
pedestrians_mov-0004_jpg.rf.0ef4fb1b1895c8ccff6422418b927b0d.jpg,1,0.45390625,0.809375,0.17578125,0.275
pedestrians_mov-0004_jpg.rf.0ef4fb1b1895c8ccff6422418b927b0d.jpg,1,0.64140625,0.70703125,0.1421875,0.28828125
pedestrians_mov-0004_jpg.rf.0ef4fb1b1895c8ccff6422418b927b0d.jpg,1,0.76953125,0.6234375,0.08359375,0.321875
pedestrians_mov-0004_jpg.rf.0ef4fb1b1895c8ccff6422418b927b0d.jpg,1,0.95546875,0.609375,0.07109375,0.21484375
pedestrians_mov-0004_jpg.rf.0ef4fb1b1895c8ccff6422418b927b0d.jpg,1,0.87890625,0.53984375,0.0765625,0.25703125
pedestrians_mov-0004_jpg.rf.0ef4fb1b1895c8ccff6422418b927b0d.jpg,0,0.1078125,0.44453125,0.0375,0.15625
pedestrians_mov-0004_jpg.rf.0ef4fb1b1895c8ccff6422418b927b0d.jpg,1,0.06796875,0.4421875,0.04375,0.14296875
pedestrians_mov-0007_jpg.rf.4ad8e8a9d20c3919ed6c730cf512b97e.jpg,1,0.796875,0.72109375,0.2046875,0.290625
pedestrians_mov-0007_jpg.rf.4ad8e8a9d20c3919ed6c730cf512b97e.jpg,1,0.5875,0.72890625,0.1515625,0.296875
pedestrians_mov-0007_jpg.rf.4ad8e8a9d20c3919ed6c730cf512b97e.jpg,1,0.49140625,0.6484375,0.175,0.290625
pedestrians_mov-0007_jpg.rf.4ad8e8a9d20c3919ed6c730cf512b97e.jpg,0,0.128125,0.34140625,0.08125,0.1578125
pedestrians_mov-0007_jpg.rf.4ad8e8a9d20c3919ed6c730cf512b97e.jpg,1,0.2765625,0.5734375,0.2265625,0.359375
pedestrians_mov-0007_jpg.rf.4ad8e8a9d20c3919ed6c730cf512b97e.jpg,3,0.9578125,0.65625,0.06875,0.1515625
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,1,0.52421875,0.78828125,0.134375,0.30625
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,1,0.71171875,0.703125,0.07890625,0.21015625
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,1,0.671875,0.625,0.07265625,0.22734375
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,2,0.9453125,0.54921875,0.0609375,0.17578125
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,2,0.990625,0.6015625,0.01875,0.20703125
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,0,0.10078125,0.4421875,0.053125,0.1546875
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,0,0.69140625,0.44453125,0.040625,0.10078125
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,0,0.63359375,0.4375,0.04921875,0.1046875
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,0,0.38359375,0.38203125,0.028125,0.08671875
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,3,0.44765625,0.3828125,0.0265625,0.0921875
pedestrians_mov-0005_jpg.rf.caef326fd1ee8567205b7a08f6eb1d73.jpg,0,0.42421875,0.375,0.02421875,0.1046875
pedestrians_mov-0000_jpg.rf.406d9e7831af57fa554da537d9a8b3ee.jpg,0,0.33515625,0.83359375,0.2125,0.2328125
pedestrians_mov-0000_jpg.rf.406d9e7831af57fa554da537d9a8b3ee.jpg,1,0.7484375,0.58515625,0.0859375,0.1484375
pedestrians_mov-0000_jpg.rf.406d9e7831af57fa554da537d9a8b3ee.jpg,1,0.690625,0.68984375,0.103125,0.1640625
pedestrians_mov-0000_jpg.rf.406d9e7831af57fa554da537d9a8b3ee.jpg,1,0.2875,0.41171875,0.0609375,0.11875
pedestrians_mov-0000_jpg.rf.406d9e7831af57fa554da537d9a8b3ee.jpg,1,0.9484375,0.646875,0.09375,0.1828125
pedestrians_mov-0000_jpg.rf.406d9e7831af57fa554da537d9a8b3ee.jpg,0,0.9078125,0.55,0.065625,0.1609375
pedestrians_mov-0000_jpg.rf.406d9e7831af57fa554da537d9a8b3ee.jpg,0,0.45546875,0.41953125,0.071875,0.11875
pedestrians_mov-0000_jpg.rf.406d9e7831af57fa554da537d9a8b3ee.jpg,0,0.56640625,0.459375,0.0671875,0.115625
